,Hava,Seyis,Unnamed: 2,TR
4889,Ali,Oktay,,TR
4892,Yasemin,Arda,,TR
4894,Zeynep,Siypak,,TR
4895,Alaattin,Bolat,,TR
4896,Rizeli,Kaptan,,TR
4897,Nour,Zeno,,TR
4898,Rumeysa,Kolip,,TR
4900,Hasan,Aydemir,,TR
4903,Mustafa,Alemdaroglu,,TR
4904,Koksal,Karadeniz,,TR
4905,Harun,Irten,,TR
4906,Kelam,Terir,,TR
4907,Muhammad,Amin,,TR
4908,Zafer,Sonmez,,TR
4909,Mustafa,Alokoud,,TR
4912,Emine,Simsek,,TR
4913,Cevat,Alkan,,TR
4915,Cemile,Kara,,TR
4916,Veysel,Tetik,,TR
4917,Selahattin,Keskin,,TR
4921,Vefa,Kalem,,TR
4925,Nedim,Simsek,,TR
4927,Edanur,Aydemir,,TR
4928,Serap,Polat,,TR
4929,Emir,Mobedi,,TR
4931,Damla,Demir,,TR
4935,Kerem,Dag,,TR
4937,Orhan,Imamoglu,,TR
4941,Gozde,Erdem,,TR
4949,Nevim,Salter,,TR
4953,Malik,Nur,,TR
4955,Raife,Tas,,TR
4958,Serhat,Serha,,TR
4960,Arzu,Askar,,TR
4962,Mehmet,Tas,,TR
4963,Shaxlo,Mirzayeva,,TR
4965,Nedime,Karadeniz,,TR
4968,Ayhan,Kart,,TR
4969,Leman,Deviren,,TR
4970,Nilufer,Tan,,TR
4975,Ramazan,Bal,,TR
4977,Murat,Saltek,,TR
4978,Berfe,Berfe,,TR
4982,Nermin,Kara,,TR
4984,Aysel,Ceran,,TR
4985,Figo,Figo,,TR
4987,Ferit,Azbay,,TR
4988,Gonca,Yesiltas,,TR
4989,Erdem,Yigit,,TR
4990,Dilek,Tutkun,,TR
4994,Ahmet,Nur,,TR
4995,Nedim,Oral,,TR
4997,Wesam,Pcx,,TR
4998,Cemil,Taskin,,TR
4999,Najla,Kousa,,TR
5003,Sundari,Miracle,,TR
5004,Sebahattin,Uzun,,TR
5007,Sancar,Ekinci,,TR
5008,Sabri,Yilmaz,,TR
5011,Abdulcelil,Serdar,,TR
5012,Ali,Saglam,,TR
5014,Seyhan,Gun,,TR
5017,Cansu,Toktosunova,,TR
5018,Emre,Kesepara,,TR
5027,Melisa,Soylu,,TR
5039,Umut,Esen,,TR
5040,Cevdet,Sava,,TR
5041,Erhan,Kala,,TR
5046,Hasan,Demir,,TR
5047,Sait,Ince,,TR
5048,Ehab,Ed,,TR
5050,Merve,Kaya,,TR
5051,Can,Can,,TR
5053,Dilek,Salantur,,TR
5056,Yucel,Lale,,TR
5057,Erol,Demir,,TR
5061,Osman,Gulsen,,TR
5065,Ramazan,Adak,,TR
5066,Tekbir,Ozay,,TR
5067,Nihal,Metin,,TR
5070,Fazile,Akkoz,,TR
5072,Hakki,Yigit,,TR
5073,Nasiba,Kadirova,,TR
5074,Haydar,Mece,,TR
5077,Esra,Arslaner,,TR
5078,Nur,An,,TR
5081,Mehmet,Oztas,,TR
5084,Aleyna,Byhn,,TR
5089,Inan,Demir,,TR
5091,Hayrettin,Deniz,,TR
5092,Ahmet,Sabu,,TR
5094,Aysel,Bayram,,TR
5095,Mehmet,Batan,,TR
5098,Cemile,Capar,,TR
5101,Birhan,Kara,,TR
5102,Murat,Korkmaz,,TR
5104,Belkant,Kirca,,TR
5118,Nursel,Baydar,,TR
5121,Ensar,Mercan,,TR
5124,Hatice,Aksert,,TR
5126,Ayse,Kaya,,TR
5128,Esad,Yigit,,TR
5131,Faris,Cesur,,TR
5135,Semsettin,Dalkilic,,TR
5138,Gunca,Rejepowa,,TR
5139,Halil,Engin,,TR
5141,Hasan,Candan,,TR
5148,Suzan,Oruk,,TR
5149,Canan,Soyar,,TR
5151,Elif,Bayraktar,,TR
5152,Cumali,Ozgan,,TR
5157,Ahmad,Homs,,TR
5158,Ahmet,Erol,,TR
5160,Abdulkadir,Cagiran,,TR
5161,Muharrem,Bumin,,TR
5164,Hasan,Sucu,,TR
5166,Murat,Kaya,,TR
5169,Mustafa,Orhan,,TR
5175,Efe,Yakamoz,,TR
5176,Mostafa,Mostafa,,TR
5178,Emine,Aliusta,,TR
5185,Ezel,Kaya,,TR
5186,Bekir,Arslan,,TR
5187,Ahmet,Deniz,,TR
5189,Ilker,Ilker,,TR
5191,Alican,Alican,,TR
5192,Yasemin,Tekkanat,,TR
5193,Sultan,Eke,,TR
5195,Kadir,Aslan,,TR
5198,Berkcan,Demirci,,TR
5200,Abdurrahman,Kayali,,TR
5205,Adem,Karalar,,TR
5207,Fatmanur,Karaca,,TR
5210,Yasin,Burkut,,TR
5212,Abdurahman,Topal,,TR
5214,Mehmet,Payam,,TR
5215,Mustafa,Dogan,,TR
5218,Saver,Sabir,,TR
5219,Ablat,Ablala,,TR
5223,Abdullah,Bilgic,,TR
5224,Ali,Karakus,,TR
5226,Baki,Karayaprak,,TR
5229,Mirza,Can,,TR
5232,Emrah,Arslan,,TR
5233,Maher,Omar,,TR
5236,Abdurahman,Bal,,TR
5237,Muhammad,Yousef,,TR
5238,Haci,Memi,,TR
5241,Saliha,Polat,,TR
5248,Deniz,Aslan,,TR
5250,Mehmet,Bozan,,TR
5251,Abdullah,Orhan,,TR
5255,Berat,Sertkara,,TR
5256,Hayeller,Bedava,,TR
5257,Ali,Ozcan,,TR
5258,Asiye,Ekinci,,TR
5262,Serhat,Kurt,,TR
5263,Efe,Bayraktar,,TR
5264,Celal,Firat,,TR
5265,Yakup,Kara,,TR
5269,Decolux,Boya,,TR
5271,Gazi,Kanatli,,TR
5272,Yilmaz,Dogan,,TR
5274,Jackie,Kenya,,TR
5275,Slym,Can,,TR
5279,Nafi,Can,,TR
5284,Cemile,Tankut,,TR
5285,Asdasfangkjdkgajgaj,Safhajhgjkldgg,,TR
5286,Selva,Aslan,,TR
5287,Ali,Erdem,,TR
5291,Metin,Ok,,TR
5292,Ahmet,Akyol,,TR
5297,Muhammet,Hahai,,TR
5298,Elham,Abdelkader,,TR
5299,Lodein,Khan,,TR
5300,Kurban,Umot,,TR
5303,Iremsu,Kaya,,TR
5305,Hanife,Petek,,TR
5306,Zeynep,Tosun,,TR
5309,Fatma,Serdar,,TR
5311,Cenk,Burn,,TR
5313,Halim,Karakulak,,TR
5314,Emine,Koc,,TR
5316,Khaloodi,Mohamd,,TR
5317,Serkan,Asgarzade,,TR
5319,Ebru,Albayrak,,TR
5320,Mesut,Su,,TR
5321,Hamza,Neymarhdkdj,,TR
5322,Hamza,Demir,,TR
5323,Veysi,Demir,,TR
5325,Onur,Bodur,,TR
5326,Yusuf,Gexen,,TR
5330,Seymen,Teker,,TR
5331,Hatice,Kaya,,TR
5332,Deniz,Mavi,,TR
5333,Batuhan,Furkan,,TR
5337,Nizam,Acikdilli,,TR
5340,Hidayet,Orhan,,TR
5342,Nesli,Pirinc,,TR
5345,Fatmanaz,Rizeli,,TR
5352,Osman,Selim,,TR
5354,Ismailhakki,Kurt,,TR
5357,Omer,Celebi,,TR
5360,Hamiyet,Saran,,TR
5361,Beytullah,Zozik,,TR
5362,Enver,Akyildiz,,TR
5363,Kazim,Tpolu,,TR
5365,Berkan,Camgoz,,TR
5367,Mehmet,Saykin,,TR
5368,Farruh,Akbiev,,TR
5373,Filiz,Bayrakci,,TR
5376,Tahir,Tentif,,TR
5378,Tolunay,Akkaya,,TR
5382,Ali,Ali,,TR
5383,Cevdet,Kaya,,TR
5385,Halime,Kara,,TR
5386,Hasan,Bicer,,TR
5388,Semanur,Seker,,TR
5392,Zekeriya,Songu,,TR
5393,Mustafa,Simsek,,TR
5394,Hamza,Biricik,,TR
5396,Ali,Mamis,,TR
5399,Mehmet,Tekdar,,TR
5400,Muhammed,Kaya,,TR
5403,Bilal,Bakir,,TR
5409,Ramazan,Taner,,TR
5410,Ahmet,Abak,,TR
5412,Mehmet,Atmaca,,TR
5418,Mustafa,Kartal,,TR
5419,Umeda,Rakhmanova,,TR
5421,Fevzi,Atalay,,TR
5422,Sevara,Maraimova,,TR
5423,Emre,Kch,,TR
5428,Yasin,Demirel,,TR
5429,Filiz,Kuzuahmet,,TR
5430,Gulay,Baykal,,TR
5434,Rano,Ranoshka,,TR
5439,Sener,Gulmez,,TR
5442,Egecan,Su,,TR
5444,Musa,Ergul,,TR
5446,Jamal,Afghan,,TR
5448,Shamil,Refat,,TR
5451,Yunus,Akdemir,,TR
5453,Kadir,Yakse,,TR
5456,Emine,Bdk,,TR
5457,Kartal,Rana,,TR
5461,Maya,Ale,,TR
5462,Ferhunde,Senses,,TR
5463,Kutlu,Kivanc,,TR
5464,Mrfty,Arby,,TR
5469,Arjin,Bagok,,TR
5470,Mustafa,Naebi,,TR
5475,Muttalip,Sel,,TR
5479,Ibrahim,Bilmen,,TR
5483,Ahmet,Tasoluk,,TR
5484,Ela,Nur,,TR
5488,Katapa,Sanatevi,,TR
5496,Huseyin,Aydemir,,TR
5500,Sebahattin,Duman,,TR
5508,Elif,Nur,,TR
5511,Arda,Aker,,TR
5512,Levent,Atas,,TR
5514,Deniz,Ok,,TR
5515,Hasan,Kahraman,,TR
5516,Muhammed,Gurkan,,TR
5517,Nebahat,Arda,,TR
5520,Abdullah,Karababa,,TR
5522,Erdal,Pekdemir,,TR
5523,Sevda,Tascilar,,TR
5524,Hacer,Karayel,,TR
5525,Kader,Kila,,TR
5526,Kadir,Keskin,,TR
5527,Ramazan,Yilmaz,,TR
5528,Mariya,Moko,,TR
5533,Sedat,Karahan,,TR
5535,Muhittin,Arat,,TR
5537,Karahan,Sevim,,TR
5538,Zeynep,Ak,,TR
5541,Batool,Asaad,,TR
5548,Turan,Demir,,TR
5549,Olgun,Kukuk,,TR
5557,Aziz,Oral,,TR
5558,Hamza,Ulusak,,TR
5560,Turgay,Sansar,,TR
5562,Djdjjx,Sjsjzj,,TR
5564,Gokhan,Uslu,,TR
5572,Tukan,Aslan,,TR
5573,Sema,Demir,,TR
5576,Ayten,Guzey,,TR
5578,Ozalir,Ali,,TR
5579,Fadime,Yenisoy,,TR
5580,Bedircan,Coban,,TR
5581,Rohat,Ertem,,TR
5585,Ayla,Akbulak,,TR
5588,Abdulkadir,Homsi,,TR
5590,Adem,Atici,,TR
5591,Yagmur,Sarikaya,,TR
5594,Hakan,Kapan,,TR
5596,Mustafa,Odaci,,TR
5598,Krem,Toz,,TR
5599,Furkan,Sasmax,,TR
5600,Samet,Bozkurt,,TR
5602,Sadet,Dogan,,TR
5603,Abdullah,Ayverdi,,TR
5612,Hussam,Alrfaaei,,TR
5614,Fatma,Tontu,,TR
5616,Samet,Arslan,,TR
5618,Eser,Ozdar,,TR
5621,Kemal,Dahak,,TR
5622,Cemile,Ayan,,TR
5624,Leyla,Elyan,,TR
5625,Kadir,Bitimli,,TR
5626,Kemal,Bayram,,TR
5627,Turan,Arkad,,TR
5638,Mustafa,Genc,,TR
5639,Ayse,Avcu,,TR
5641,Ersin,Izci,,TR
5642,Efe,Kale,,TR
5644,Emrah,Tulu,,TR
5645,Adnan,Ekelik,,TR
5646,Zehra,Parlak,,TR
5648,Erdal,Ucoz,,TR
5651,Yusuf,Kardogan,,TR
5653,Berkay,Bora,,TR
5654,Salim,Gonul,,TR
5655,Chara,Dreemurr,,TR
5659,Mahmut,Dalkiran,,TR
5660,Sevinc,Ctpk,,TR
5662,Ferdi,Kaya,,TR
5663,Kemalettin,Baytimur,,TR
5664,Ahmet,Dellan,,TR
5666,Sadi,Boz,,TR
5668,Halil,Colak,,TR
5669,Ayhan,Omurtag,,TR
5670,Orhan,Deniz,,TR
5671,Muhsin,Duran,,TR
5675,Caner,Caner,,TR
5681,Cuma,Kandemir,,TR
5692,Levent,Kaan,,TR
5696,Cumali,Ayar,,TR
5697,Cengiz,Oral,,TR
5698,Zehra,Palan,,TR
5699,Emirhan,Tokdemir,,TR
5700,Havva,Gezer,,TR
5701,Atilla,Kandelci,,TR
5702,Jennet,Sh,,TR
5704,Sevilay,Ezel,,TR
5707,Selma,Gulsen,,TR
5708,Babajan,Babajan,,TR
5710,Kerim,Kanca,,TR
5711,Hulya,Cebeci,,TR
5712,Ali,Tks,,TR
5714,Yunus,Top,,TR
5715,Fatih,Bltc,,TR
5716,Kiraz,Kartal,,TR
5719,Abdullah,Yuksel,,TR
5721,Mujhad,Abbas,,TR
5722,Osman,Bilgic,,TR
5723,Sinan,Murat,,TR
5726,Yilmaz,Sahin,,TR
5727,Yilmaz,Usta,,TR
5728,Bozkurt,Kurt,,TR
5729,Duygu,Cnr,,TR
5730,Can,Kutun,,TR
5732,Remzi,Duzen,,TR
5733,Yusuf,Mavzer,,TR
5738,Arife,Canbolat,,TR
5739,Ender,Erceli,,TR
5741,Fatma,Yaman,,TR
5742,Arda,Durmaz,,TR
5743,Ayberk,Varol,,TR
5746,Mert,Sezgin,,TR
5751,Marley,Ali,,TR
5752,Selin,Duran,,TR
5753,Abdurrahim,Bilen,,TR
5755,Monzer,Alshiekh,,TR
5756,Ramazan,Savran,,TR
5760,Sinan,Sinan,,TR
5761,Abdullah,Kandil,,TR
5766,Ibrahim,Talan,,TR
5769,Ahmo,Manla,,TR
5770,Balla,Gaye,,TR
5777,Amma,Janneh,,TR
5780,Mecit,Selbi,,TR
5782,Halilibrahim,Sak,,TR
5784,Furkan,Aldnmz,,TR
5786,Leyla,Can,,TR
5787,Emel,Bttll,,TR
5788,Nejdet,Karababa,,TR
5789,Mehmet,Polat,,TR
5791,Mustafa,Kilic,,TR
5795,Redwan,Aashour,,TR
5797,Omar,Shele,,TR
5800,Eneska,Hamrayewa,,TR
5801,Kerem,Can,,TR
5803,Ahmet,Turk,,TR
5804,Deniz,Atasay,,TR
5805,Mahir,Ceylan,,TR
5807,Ece,Amikli,,TR
5812,Timur,Ercan,,TR
5817,Melek,Su,,TR
5819,Dicle,Gele,,TR
5821,Murat,Ceylan,,TR
5822,Mehmet,Topal,,TR
5824,Ece,Su,,TR
5825,Adasdasda,Asdasdasda,,TR
5828,Sevilay,Durmaz,,TR
5829,Dayka,Vadem,,TR
5832,Ziya,Niyet,,TR
5839,Ahmet,Alkan,,TR
5842,Emine,Dramaman,,TR
5843,Melek,Kync,,TR
5845,Duran,Dursun,,TR
5849,Engin,Erkmen,,TR
5850,Onur,Salar,,TR
5851,Hamza,Ozdemir,,TR
5853,Adil,Kaya,,TR
5854,Hikmet,Coskun,,TR
5855,Sibel,Kaya,,TR
5856,Sertac,Ozkaya,,TR
5857,Sercan,Kaya,,TR
5860,Mustafa,Pala,,TR
5864,Roza,Moldalieva,,TR
5866,Erdal,Simsek,,TR
5868,Senol,Erbas,,TR
5870,Suat,Aker,,TR
5871,Nalan,Topaloglu,,TR
5875,Riza,Telli,,TR
5876,Yasin,Merdan,,TR
5881,Nuray,Soydas,,TR
5882,Ali,Aslan,,TR
5887,Alev,Ercicek,,TR
5889,Feti,Elmas,,TR
5891,Muhlis,Muhlis,,TR
5893,Murat,Yaman,,TR
5894,Ebubekir,Ozbulut,,TR
5895,Furkan,Arikan,,TR
5899,Deniz,Gon,,TR
5900,Enes,Erkan,,TR
5907,Abdullah,Aydemir,,TR
5908,Imren,Ekinci,,TR
5910,Muhammed,Uyuz,,TR
5911,Cengiz,Pehlivan,,TR
5913,Emine,Kazi,,TR
5918,Kadir,Kakar,,TR
5921,Emine,Karaca,,TR
5923,Muhammed,Saritas,,TR
5928,Mamee,Kan,,TR
5930,Halit,Kartal,,TR
5934,Osman,Erden,,TR
5944,Ferhan,Ayaz,,TR
5945,Veysel,Kaplaner,,TR
5947,Gulay,Duman,,TR
5948,Zeki,Hayyamoglu,,TR
5951,Ahmet,Demirdag,,TR
5952,Idris,Sevim,,TR
5953,Emrah,Kuzu,,TR
5955,Murat,Kurt,,TR
5956,Halil,Taskin,,TR
5962,Neslihan,Akkaya,,TR
5963,Izzet,Koca,,TR
5964,Ferhay,Ay,,TR
5966,Reyhan,Cavus,,TR
5968,Saadet,Soylu,,TR
5969,Rawan,Ilord,,TR
5972,Murat,Dolen,,TR
5974,Mehmet,Evlice,,TR
5977,Ersin,Yilmaz,,TR
5978,Nezir,Nakci,,TR
5981,Sait,Gyrnl,,TR
5985,Ali,Deniz,,TR
5988,Fuoad,Fuoad,,TR
5989,Hallibo,Mayda,,TR
5994,Emirhanfr,Sarioglu,,TR
5998,Bahar,Bilg,,TR
5999,Murat,Basaran,,TR
6002,Enes,Serin,,TR
6003,Tufan,Keskin,,TR
6004,Yuksel,Demirci,,TR
6005,Ece,Tngz,,TR
6006,Ali,Arslan,,TR
6010,Elif,Sakarya,,TR
6012,Serpil,Topal,,TR
6014,Yusuf,Tatar,,TR
6016,Ali,Bulut,,TR
6017,Mehmet,Koyuncu,,TR
6022,Elvar,Sarievi,,TR
6023,Musa,Ceylan,,TR
6028,Burak,Al,,TR
6029,Tugba,Bahceci,,TR
6030,Asya,Seran,,TR
6035,Muharrem,Daylak,,TR
6037,Amermohamad,Albakry,,TR
6038,Irem,Ekiz,,TR
6042,Brylle,Bercero,,TR
6043,Mehmet,Yilmaz,,TR
6045,Hanife,Coskun,,TR
6048,Adem,Abay,,TR
6053,Yavuz,Tuna,,TR
6055,Dilek,Teke,,TR
6056,Birol,Bayrak,,TR
6059,Zulfiye,Tunahan,,TR
6063,Naci,Kefeli,,TR
6074,Ibrahim,Bak,,TR
6077,Bahri,Oskay,,TR
6078,Mert,Uzum,,TR
6079,Umut,Geyik,,TR
6081,Murat,Guguk,,TR
6085,Seref,Kaya,,TR
6086,Ahmet,Kara,,TR
6088,Sefa,Uzunca,,TR
6091,Ondrr,Celikkatanat,,TR
6092,Aysel,Eser,,TR
6093,Tamer,Yamak,,TR
6095,Melek,Dilaver,,TR
6098,Sibelyunus,Candan,,TR
6099,Adnan,Yetiskin,,TR
6101,Emircan,Burgazleer,,TR
6103,Deniz,Deniz,,TR
6107,Melisa,Iras,,TR
6111,Emirhan,Kus,,TR
6112,Ghadir,Sahidy,,TR
6113,Zeynep,Yerli,,TR
6114,Sudenur,Kara,,TR
6115,Tuncay,Sever,,TR
6116,Sakarya,Kocaali,,TR
6117,Berk,Tiryaki,,TR
6118,Emine,Yilmaz,,TR
6120,Atakan,Tiryaki,,TR
6123,Sevgi,Kara,,TR
6124,Huseyin,Taskiran,,TR
6126,Bayram,Erbay,,TR
6128,Hshs,Henen,,TR
6130,Naciye,Kanat,,TR
6132,Fulya,Alkan,,TR
6133,Sibel,Kirecci,,TR
6134,Serhat,Bakan,,TR
6135,Emine,Akay,,TR
6136,Baran,Kazan,,TR
6137,Sercan,Kaymak,,TR
6139,Kadir,Muti,,TR
6140,Ahmet,Gurgen,,TR
6143,Hatice,Kalay,,TR
6144,Murat,Zilan,,TR
6145,Nevin,Sakin,,TR
6147,Nuray,Saat,,TR
6152,Gulnora,Yuldasheva,,TR
6153,Ercan,Karaorman,,TR
6155,Poyraz,Cann,,TR
6159,Caniko,Canima,,TR
6163,Hayrettin,Akkaya,,TR
6164,Can,Yemez,,TR
6166,Kucka,Asi,,TR
6168,Ahmet,Kehya,,TR
6169,Bedir,Aytekin,,TR
6170,Muhammet,Cengiz,,TR
6172,Resul,Katirci,,TR
6175,Derdo,Baba,,TR
6176,Abdulgafar,Barik,,TR
6179,Sami,Pir,,TR
6182,Aziz,Babayew,,TR
6187,Ahmet,Fenik,,TR
6190,Fehmiye,Temel,,TR
6192,Cevat,Altun,,TR
6194,Kara,Murat,,TR
6198,Osman,Tuzcu,,TR
6199,Ridvan,Yildiz,,TR
6204,Cemil,Oztunc,,TR
6207,Melik,Can,,TR
6208,Bapir,Bala,,TR
6212,Hasan,Guvenc,,TR
6213,Sibel,Tuna,,TR
6214,Bayram,Fidan,,TR
6215,Sezer,Demir,,TR
6217,Mehmet,Tarhan,,TR
6218,Yusuf,Sabuncu,,TR
6223,Leylam,Kanaryam,,TR
6224,Nuri,Mert,,TR
6226,Cemal,Ulusu,,TR
6229,Serdar,Maras,,TR
6235,Esmer,Ahmet,,TR
6236,Mehmet,Dalga,,TR
6237,Mehmet,Arslan,,TR
6239,Harun,Arasan,,TR
6244,Erdal,Posta,,TR
6249,Harun,Aydemir,,TR
6250,Mahmut,Erol,,TR
6252,Beyhan,Sezer,,TR
6254,Keramettin,Aktekin,,TR
6255,Ilkerbaran,Bozyel,,TR
6260,Ayhan,Demir,,TR
6264,Arzu,Demir,,TR
6265,Tayyar,Yerebasmaz,,TR
6266,Okan,Dogan,,TR
6267,Osman,Arsoy,,TR
6270,Salim,Kalay,,TR
6271,Cemil,Okur,,TR
6272,Servet,Turan,,TR
6273,Ayhan,Uzan,,TR
6275,Murat,Aksoy,,TR
6276,Sefa,Inan,,TR
6277,Kubilay,Bolat,,TR
6278,Dilek,Bilgic,,TR
6279,Cengiz,Alay,,TR
6280,Tayfun,Yildirim,,TR
6281,Zubeyir,Demir,,TR
6283,Mehmet,Aka,,TR
6284,Recep,Yetim,,TR
6285,Gunay,Ordek,,TR
6286,Bayram,Cosgun,,TR
6288,Sabri,Kar,,TR
6289,Rabia,Bozkurt,,TR
6290,Selma,Kaynak,,TR
6295,Harun,Ercan,,TR
6298,Metin,Kayrak,,TR
6299,Cagri,Can,,TR
6301,Salih,Aytekin,,TR
6303,Ayfer,Demir,,TR
6304,Ismail,Mutlu,,TR
6305,Mikdat,Samsun,,TR
6308,Selim,Yarar,,TR
6310,Ali,Turab,,TR
6312,Ismail,Atasoy,,TR
6313,Huseyin,Senturk,,TR
6314,Seda,Balta,,TR
6317,Aytekin,Kartal,,TR
6318,Faruk,Aydib,,TR
6319,Onur,Cibik,,TR
6320,Ebru,Kaya,,TR
6321,Hafize,Abi,,TR
6324,Oktay,Demirci,,TR
6329,Tahir,Kilic,,TR
6330,Ali,Bilgen,,TR
6331,Mustafa,Demir,,TR
6334,Filiz,Karaman,,TR
6335,Kader,Demir,,TR
6339,Murat,Ocal,,TR
6344,Atakan,Zor,,TR
6345,Muhammed,Yusuf,,TR
6346,Mertcan,Akar,,TR
6351,Murat,Cebeci,,TR
6352,Ali,Almas,,TR
6355,Sibel,Korkmaz,,TR
6356,Hediye,Battal,,TR
6359,Ayhan,Arslan,,TR
6364,Nurullah,Akyol,,TR
6373,Cumhur,Can,,TR
6376,Dursun,Duran,,TR
6380,Mustafa,Atar,,TR
6382,Ramazan,Alabay,,TR
6386,Ali,Akkaya,,TR
6387,Ahmet,Turan,,TR
6389,Muharrem,Ozgul,,TR
6393,Murat,Demirer,,TR
6394,Ataberkan,Gazi,,TR
6398,Ihsan,Imamoglu,,TR
6402,Bager,Uzun,,TR
6405,Ahmet,Bal,,TR
6410,Emre,Akay,,TR
6411,Oguzhan,Yonar,,TR
6414,Adem,Aslan,,TR
6415,Vedat,Bozkurt,,TR
6421,Mahmut,Sakallioglu,,TR
6422,Aysel,Celenk,,TR
6423,Kifayat,Shah,,TR
6424,Halil,Gunduz,,TR
6426,Mehmet,Hizani,,TR
6437,Resul,Paslanmaz,,TR
6439,Emine,Aksoy,,TR
6441,Bekir,Er,,TR
6442,Can,Firal,,TR
6443,Hamidullah,Haliki,,TR
6446,Egemen,Uzun,,TR
6454,Indir,Mujagic,,TR
6457,Asu,Dere,,TR
6459,Sebauon,Totaheil,,TR
6460,Fahim,Zazai,,TR
6461,Azizullah,Roshan,,TR
6462,Fatih,Torun,,TR
6463,Habib,Yilmaz,,TR
6464,Sehmuz,Atiz,,TR
6467,Recep,Sarikaya,,TR
6468,Saidrahman,Mangal,,TR
6471,Mehmet,Topcu,,TR
6476,Nur,Ozlem,,TR
6478,Nesrin,Tekin,,TR
6483,Eklas,Yakoop,,TR
6484,Sena,Karahan,,TR
6485,Abdulgani,Abdulgani,,TR
6486,Ahmet,Bacaksiz,,TR
6487,Murat,Ilhan,,TR
6489,Berrin,Karayelli,,TR
6490,Ali,Arslan,,TR
6491,Muhammet,Bizra,,TR
6492,Gfdejn,Vkjg,,TR
6493,Eymen,Bilgin,,TR
6496,Emre,Gunbel,,TR
6498,Nezihe,Ekiz,,TR
6500,Emrullah,Demirci,,TR
6505,Ufuk,Akdeniz,,TR
6507,Cemile,Girgirlar,,TR
6508,Gamze,Ekinci,,TR
6510,Melisa,Mert,,TR
6512,Abdulla,Raafat,,TR
6514,Erol,Bekar,,TR
6516,Handan,Acar,,TR
6520,Salad,Hussein,,TR
6521,Aysegul,Ekici,,TR
6524,Hatice,Kazaz,,TR
6525,Gulcan,Taner,,TR
6527,Hikmet,Bozali,,TR
6528,Nergiz,Tursunoba,,TR
6530,Ali,Bayraktar,,TR
6531,Tamam,Irmak,,TR
6532,Uygar,Yener,,TR
6536,Khvicha,Sakhamberidze,,TR
6537,Tc,Haytan,,TR
6538,Sinjin,Asok,,TR
6540,Balkan,Kesgin,,TR
6541,Ali,Susam,,TR
6543,Orbay,Efe,,TR
6544,Ali,Aktas,,TR
6547,Emre,Gurgur,,TR
6551,Sagolera,Mf,,TR
6552,Levent,Budak,,TR
6556,Sami,Yaman,,TR
6557,Canan,Akan,,TR
6559,Harun,Ocak,,TR
6560,Canan,Onur,,TR
6562,Arif,Akan,,TR
6566,Wahab,Pardis,,TR
6569,Zeliha,Ergin,,TR
6571,Emrah,Bayrak,,TR
6573,Ufuk,Catal,,TR
6574,Huseyi,Karakas,,TR
6575,Zki,Hberal,,TR
6576,Serdar,Polat,,TR
6577,Gulbeddin,Ozbek,,TR
6578,Ercan,Mert,,TR
6579,Abbas,Borucu,,TR
6580,Ebru,Atalay,,TR
6590,Salim,Tokay,,TR
6593,Orbay,Kurt,,TR
6594,Adem,Demir,,TR
6595,Aziz,Sagir,,TR
6596,Mustafa,Ozdes,,TR
6597,Eren,Demir,,TR
6598,Naciye,Koruk,,TR
6599,Mutlu,Ercan,,TR
6600,Murat,Pamuk,,TR
6601,Magdaa,Mikeladze,,TR
6603,Nurdan,Turan,,TR
6604,Xida,Maksudova,,TR
6609,Enes,Arslan,,TR
6610,Marangoz,Mustafa,,TR
6611,Kadim,Kara,,TR
6614,Mehmet,Tiras,,TR
6615,Ismailberat,Sahin,,TR
6616,Munevver,Tufan,,TR
6619,Hatice,Atak,,TR
6624,Saban,Tezerisener,,TR
6627,Kemal,Ogul,,TR
6633,Ayaz,Demir,,TR
6634,Ozcan,Caglar,,TR
6635,Yildirim,Yildirim,,TR
6637,Kubilay,Sahin,,TR
6638,Nana,Gogolashvili,,TR
6640,Kemal,Kilic,,TR
6643,Reyhan,Kaya,,TR
6645,Merduiddin,Ozturk,,TR
6646,Bilal,Yelboga,,TR
6649,Nurten,Dasdemir,,TR
6653,Talip,Altay,,TR
6654,Canan,Akbulut,,TR
6659,Arzu,Coban,,TR
6661,Zehra,Ozcan,,TR
6663,Sinan,Askin,,TR
6668,Elifnaz,Cankaya,,TR
6669,Modila,Hobi,,TR
6678,Oguzhan,Yuksel,,TR
6680,Zeynep,Basoglu,,TR
6681,Ismail,Arslan,,TR
6689,Toprak,Beton,,TR
6697,Recep,Altunkum,,TR
6698,Hasan,Baydin,,TR
6705,Yakup,Varol,,TR
6708,Mustafa,Kara,,TR
6710,Zakariya,Kvrnawi,,TR
6712,Ali,Sahin,,TR
6713,Sedat,Taban,,TR
6718,Birol,Durucu,,TR
6724,Jale,Demirr,,TR
6727,Ali,Aliyev,,TR
6730,Mine,Tepe,,TR
6733,Esra,Bayrakdar,,TR
6738,Hakan,Peter,,TR
6739,Halit,Acar,,TR
6741,Kevser,Bekmezci,,TR
6744,Yavuz,Karakaya,,TR
6747,Solmaz,Saritas,,TR
6748,Gulsenburhan,Zorlu,,TR
6749,Cihan,Baran,,TR
6753,Mehmet,Civelek,,TR
6755,Nefes,Kaleli,,TR
6756,Aliomer,Koc,,TR
6757,Can,Tanem,,TR
6759,Erkan,Gever,,TR
6762,Isgin,Eroglu,,TR
6764,Cennet,Kutlu,,TR
